region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'Barcelona',b'12:00del13/04/2019',b'SantCugatdelVall\xc3\xa8s(parcdeSantFrancesc)',b'40',b'86ug/m3',b'10ug/m3',b'',b'',b'',b''
b'Barcelona',b'16:00del12/04/2019',b'SantVicen\xc3\xa7delsHorts(\xc3\x80laba)',b'8',b'',b'17ug/m3',b'2ug/m3',b'',b'',b''
b'Barcelona',b'13:00del13/04/2019',b'SantVicen\xc3\xa7delsHorts(Ribot-SantMiquel)',b'32',b'69ug/m3',b'28ug/m3',b'3ug/m3',b'',b'21.63ug/m3',b''
b'Barcelona',b'12:00del13/04/2019',b'SantaColomadeGramenet(Balldovina)',b'9',b'',b'19ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'SantaMargaridaielsMonjos(laR\xc3\xa0pita)',b'7',b'',b'13ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'SantaMariadePalautordera(Mart\xc3\xadBoada)',b'44',b'94ug/m3',b'',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'SantaPerp\xc3\xa8tuadeMogoda(OnzedeSetembre)',b'22',b'',b'13ug/m3',b'4ug/m3',b'',b'24ug/m3',b''
b'Barcelona',b'12:00del13/04/2019',b'Terrassa(PareAlegre)',b'44',b'94ug/m3',b'23ug/m3',b'3ug/m3',b'',b'',b'200ug/m3'
b'Barcelona',b'13:00del13/04/2019',b'Tona(zonaesportiva)',b'46',b'99ug/m3',b'10ug/m3',b'',b'',b'',b''
b'Barcelona',b'12:00del13/04/2019',b'Vic(estadi)',b'35',b'76ug/m3',b'',b'',b'',b'',b''
b'Barcelona',b'11:00del13/04/2019',b'Viladecans(Atrium)',b'36',b'77ug/m3',b'23ug/m3',b'3ug/m3',b'',b'',b'400ug/m3'
